anio,sexo,porc_asalariados,jerarquia_ocupacional
2016,m,60.7,Ejecución directa de producción de biene y servicios
2016,v,3.5,Directivo
2016,v,2.2,Jefe intermedio administrativo-contable
2016,v,5.0,Jefe intermedio de producción de bienes y servicios
2016,v,20.2,Ejecución directa de tareas administrativo-contables
2016,v,69.0,Ejecución directa de producción de biene y servicios
2017,TOTAL,3.8,Directivo
2017,TOTAL,2.3,Jefe intermedio administrativo-contable
2017,TOTAL,4.3,Jefe intermedio de producción de bienes y servicios
2017,TOTAL,23.1,Ejecución directa de tareas administrativo-contables
2017,TOTAL,66.6,Ejecución directa de producción de biene y servicios
2017,m,3,Directivo
2017,m,2.3,Jefe intermedio administrativo-contable
2017,m,3.4,Jefe intermedio de producción de bienes y servicios
2017,m,28.9,Ejecución directa de tareas administrativo-contables
2017,m,62.4,Ejecución directa de producción de biene y servicios
2017,v,4.3,Directivo
2017,v,2.3,Jefe intermedio administrativo-contable
2017,v,5,Jefe intermedio de producción de bienes y servicios
2017,v,19.3,Ejecución directa de tareas administrativo-contables
2017,v,69.3,Ejecución directa de producción de biene y servicios
2018,TOTAL,3.6,Directivo
2018,TOTAL,2.4,Jefe intermedio administrativo-contable
2018,TOTAL,3.9,Jefe intermedio de producción de bienes y servicios
2018,TOTAL,24.2,Ejecución directa de tareas administrativo-contables
2018,TOTAL,65.9,Ejecución directa de producción de biene y servicios
2018,m,2.7,Directivo
2018,m,2.5,Jefe intermedio administrativo-contable
2018,m,3.4,Jefe intermedio de producción de bienes y servicios
2018,m,29.9,Ejecución directa de tareas administrativo-contables
2018,m,61.4,Ejecución directa de producción de biene y servicios
2018,v,4.2,Directivo
2018,v,2.4,Jefe intermedio administrativo-contable
2018,v,4.2,Jefe intermedio de producción de bienes y servicios
2018,v,20.4,Ejecución directa de tareas administrativo-contables
2018,v,68.9,Ejecución directa de producción de biene y servicios
2019,TOTAL,4,Directivo
2019,TOTAL,1.8,Jefe intermedio administrativo-contable
2019,TOTAL,4,Jefe intermedio de producción de bienes y servicios
2019,TOTAL,26.4,Ejecución directa de tareas administrativo-contables
2019,TOTAL,63.7,Ejecución directa de producción de biene y servicios
2019,m,2.7,Directivo
2019,m,1.7,Jefe intermedio administrativo-contable
2019,m,3.3,Jefe intermedio de producción de bienes y servicios
2019,m,32.8,Ejecución directa de tareas administrativo-contables
2019,m,59.5,Ejecución directa de producción de biene y servicios
2019,v,5,Directivo
2019,v,1.9,Jefe intermedio administrativo-contable
2019,v,4.6,Jefe intermedio de producción de bienes y servicios
2019,v,21.9,Ejecución directa de tareas administrativo-contables
2019,v,66.7,Ejecución directa de producción de biene y servicios
